entrydate,indexcode,indexname,dayrsi14,weekrsi14,monthrsi14,dltp,daylowerband,daymiddleband,weeklowerband,weekmiddleband,monthlowerband,monthmiddleband
23/01/2025,^CNXAUTO,BAJAJ-AUTO.NS,34.1,35.76,56.06,8460.85,8390.27,8723.49,7349.01,9933.0,3609.08,7937.42
23/01/2025,^CNXAUTO,TVSMOTOR.NS,40.31,41.14,62.15,2273.25,2175.1,2342.07,2148.37,2533.01,1201.06,2088.79
23/01/2025,^CNXAUTO,MOTHERSON.NS,35.07,37.04,53.33,142.74,140.36,151.26,131.47,175.73,55.74,136.48
23/01/2025,^CNXAUTO,MOTHERSON.NS,35.07,37.04,53.33,142.74,140.36,151.26,131.47,175.73,55.74,136.48
23/01/2025,^CNXAUTO,BHARATFORG.NS,42.72,34.85,51.6,1226.45,1150.89,1248.05,1149.21,1381.19,794.01,1271.28
23/01/2025,^CNXAUTO,TATAMTRDVR.NS,62.15,66.64,78.89,768.65,768.65,768.65,768.65,768.65,306.64,610.79
23/01/2025,^CNXAUTO,BOSCHLTD.NS,23.41,37.68,58.34,30582.7,29899.98,32601.58,30953.96,34937.36,14689.06,27735.13
23/01/2025,^CNXAUTO,BOSCHLTD.NS,23.41,37.68,58.34,30582.7,29899.98,32601.58,30953.96,34937.36,14689.06,27735.13
23/01/2025,^CNXAUTO,MRF.NS,19.65,34.22,47.49,111599.85,106213.86,120838.76,111544.54,126882.39,96705.04,124266.08
23/01/2025,^CNXAUTO,BALKRISIND.NS,45.21,41.96,52.67,2708.45,2602.31,2765.25,2620.86,2863.44,2074.66,2682.06
23/01/2025,^CNXAUTO,EXIDEIND.NS,30.9,34.46,52.66,375.7,365.42,400.42,367.73,448.0,169.39,378.78
23/01/2025,^CNXAUTO,APOLLOTYRE.NS,22.09,37.83,50.26,439.0,413.73,486.57,444.02,504.72,357.96,473.99
23/01/2025,^CNXAUTO,ASHOKLEY.NS,39.97,41.78,54.3,206.81,197.26,216.52,201.93,223.92,142.39,201.84
23/01/2025,^NSEBANK,ICICIBANK.NS,31.39,43.97,63.47,1200.45,1196.48,1257.61,1197.16,1273.71,841.34,1106.33
23/01/2025,^NSEBANK,AXISBANK.NS,21.61,29.04,44.96,959.3,970.01,1045.74,982.43,1139.02,910.59,1089.33
23/01/2025,^NSEBANK,KOTAKBANK.NS,64.76,60.21,56.14,1917.5,1687.94,1797.22,1681.39,1800.52,1638.22,1782.5
23/01/2025,^NSEBANK,SBIN.NS,38.96,41.19,56.53,753.45,730.18,773.33,741.71,804.38,502.96,722.76
23/01/2025,^NSEBANK,INDUSINDBK.NS,48.58,30.95,34.14,970.95,933.89,966.78,723.57,1119.55,979.51,1369.65
23/01/2025,^NSEBANK,FEDERALBNK.NS,39.14,47.93,64.29,190.1,186.24,195.91,178.99,197.49,115.07,167.23
23/01/2025,^NSEBANK,PNB.NS,41.45,41.6,54.01,98.2,96.11,101.11,95.03,103.59,51.23,100.45
23/01/2025,^NSEBANK,BANKBARODA.NS,42.21,42.18,54.08,228.38,216.97,232.87,223.47,243.54,179.27,236.74
23/01/2025,^NSEBANK,AUBANK.NS,60.49,47.85,47.33,604.4,540.8,576.51,497.02,622.31,529.54,664.14
23/01/2025,^NSEBANK,IDFCFIRSTB.NS,48.73,39.05,43.6,62.82,60.11,62.71,57.94,66.57,60.09,78.7
23/01/2025,^NSEBANK,BANDHANBNK.NS,43.94,38.32,34.72,151.51,140.84,153.03,136.21,175.77,149.47,204.61
23/01/2025,^CNXIT,INFY.NS,42.89,50.77,60.37,1856.45,1808.74,1907.08,1787.07,1895.28,1197.09,1609.73
23/01/2025,^CNXIT,WIPRO.NS,59.17,61.59,70.48,309.1,284.07,297.6,256.39,285.93,172.02,243.01
23/01/2025,^CNXIT,HCLTECH.NS,42.11,52.06,66.65,1827.7,1756.03,1891.85,1726.77,1858.05,1018.92,1513.97
23/01/2025,^CNXIT,TECHM.NS,48.97,54.88,68.45,1683.95,1630.46,1683.87,1582.52,1685.18,964.81,1377.75
23/01/2025,^CNXIT,LTIM.NS,47.29,49.16,55.31,5849.9,5546.21,5803.88,5537.38,6074.92,4491.44,5462.14
23/01/2025,^CNXIT,PERSISTENT.NS,35.52,52.67,68.73,5683.15,5735.16,6214.08,4994.49,5809.87,1752.69,4140.27
23/01/2025,^CNXIT,MPHASIS.NS,41.52,47.22,56.75,2808.95,2746.23,2854.86,2726.29,2953.05,1931.32,2569.54
23/01/2025,^CNXIT,LTTS.NS,66.02,55.52,57.02,5382.95,4427.8,4933.51,4680.84,5188.08,3884.95,4910.0
23/01/2025,^CNXMETAL,JSWSTEEL.NS,49.03,46.8,58.32,919.4,887.48,907.1,883.27,962.22,715.13,868.58
23/01/2025,^CNXMETAL,HINDALCO.NS,50.96,44.0,54.15,613.45,564.49,597.71,559.88,664.38,395.7,589.1
23/01/2025,^CNXMETAL,COALINDIA.NS,43.74,35.59,51.86,379.2,364.62,380.14,340.07,433.9,208.64,395.13
23/01/2025,^CNXMETAL,VEDL.NS,48.99,49.85,64.6,451.5,422.99,445.3,416.33,468.11,146.27,353.9
23/01/2025,^CNXMETAL,JSL.NS,38.45,40.8,57.69,633.4,582.3,657.59,612.29,711.47,338.03,621.4
23/01/2025,^CNXMETAL,ADANIENT.NS,44.67,39.2,44.97,2376.55,2270.3,2451.8,2095.99,2697.56,2059.59,2806.17
23/01/2025,^CNXMETAL,NMDC.NS,43.5,40.48,52.61,65.69,61.16,65.88,63.71,73.32,35.96,66.7
23/01/2025,^CNXMETAL,SAIL.NS,41.39,37.95,46.88,107.1,101.99,109.97,100.09,120.34,70.95,119.75
23/01/2025,^CNXMETAL,HINDZINC.NS,54.42,45.19,54.35,469.35,422.94,448.29,438.73,493.73,159.09,425.5
23/01/2025,^CNXMETAL,HINDCOPPER.NS,45.12,38.31,51.12,242.06,219.01,241.35,220.59,284.43,98.98,256.18
23/01/2025,^CNXMETAL,APLAPOLLO.NS,51.59,51.97,60.09,1559.55,1453.32,1547.18,1422.05,1532.14,1384.93,1542.52
23/01/2025,^CNXMETAL,RATNAMANI.NS,19.69,29.77,49.67,2908.25,2879.72,3106.42,2951.44,3427.43,2312.77,3190.14
23/01/2025,^CNXMETAL,WELCORP.NS,50.47,57.56,75.17,779.75,730.77,784.73,652.82,743.78,245.3,564.73
23/01/2025,^CNXMEDIA,SUNTV.NS,29.74,35.49,49.61,645.55,633.96,667.39,631.12,740.55,472.73,678.25
23/01/2025,^CNXMEDIA,TV18BRDCST.NS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23/01/2025,^CNXMEDIA,SAREGAMA.NS,52.66,53.12,57.62,529.75,447.16,519.58,446.8,520.61,275.1,446.79
23/01/2025,^CNXMEDIA,NETWORK18.NS,22.18,26.56,40.01,54.1,51.43,64.84,58.55,76.63,49.55,81.01
23/01/2025,^CNXMEDIA,NAZARA.NS,51.98,55.94,62.14,1006.45,909.65,993.69,871.11,975.89,608.48,840.02
23/01/2025,^CNXMEDIA,PVRINOX.NS,19.46,25.66,32.05,1068.7,984.7,1192.54,1095.99,1457.81,1144.53,1489.87
23/01/2025,^CNXMEDIA,DISHTV.NS,33.68,26.88,34.68,8.66,8.06,9.52,8.0,11.74,9.46,15.86
23/01/2025,^CNXMEDIA,HATHWAY.NS,42.63,33.52,40.83,15.37,14.63,15.55,14.27,18.16,13.97,19.53
23/01/2025,^CNXCONSUM,POLYCAB.NS,33.39,42.18,58.53,6164.35,6131.31,6862.39,6112.69,6894.06,3690.96,5782.82
23/01/2025,^CNXCONSUM,BLUESTARCO.NS,40.04,49.96,68.17,1879.45,1747.33,2046.06,1712.95,1971.39,470.15,1381.22
23/01/2025,^CNXCONSUM,CROMPTON.NS,29.04,36.66,47.92,347.0,340.92,369.72,343.64,398.89,222.26,346.84
23/01/2025,^CNXCONSUM,VOLTAS.NS,27.42,42.12,57.05,1487.05,1473.01,1687.68,1523.36,1742.37,526.22,1262.0
23/01/2025,^CNXCONSUM,DIXON.NS,32.25,49.43,70.59,14714.5,15113.56,17217.61,12376.84,15658.95,815.93,9372.32
23/01/2025,^CNXCONSUM,KAJARIACER.NS,34.28,29.18,42.04,1031.65,995.94,1087.15,944.75,1238.96,1057.17,1295.94
23/01/2025,^CNXCONSUM,KALYANKJIL.NS,24.62,35.38,54.73,485.65,440.91,651.69,542.68,686.85,74.69,440.3
23/01/2025,^CNXCONSUM,CERA.NS,35.57,38.19,46.61,6716.5,6445.97,7137.45,6465.78,7465.02,6366.47,7940.77
23/01/2025,^CNXCONSUM,VGUARD.NS,33.1,38.9,57.33,380.05,370.7,408.63,382.1,424.48,232.59,359.71
23/01/2025,^CNXCONSUM,HAVELLS.NS,36.73,37.43,51.03,1553.65,1503.33,1616.9,1446.7,1751.38,1098.24,1569.44
23/01/2025,^CNXCONSUM,VOLTAS.NS,27.42,42.12,57.05,1487.05,1473.01,1687.68,1523.36,1742.37,526.22,1262.0
23/01/2025,^CNXCONSUM,BATAINDIA.NS,30.78,40.42,38.12,1276.15,1261.86,1369.28,1270.38,1385.17,1234.66,1498.03
23/01/2025,^CNXCONSUM,WHIRLPOOL.NS,30.13,33.64,45.13,1573.55,1548.26,1736.52,1530.68,1980.16,1061.68,1673.62
23/01/2025,^CNXCONSUM,CENTURYPLY.NS,53.58,52.52,58.9,810.9,715.5,792.45,700.64,817.19,567.12,718.91
23/01/2025,^CNXCONSUM,RAJESHEXPO.NS,30.06,26.59,29.4,201.82,198.68,220.53,194.18,249.64,141.91,344.76
