Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SOBHA.NS,SOBHA.NS,SOBHA.NS,SOBHA.NS,SOBHA.NS,SOBHA.NS
Date,,,,,,
2009-12-01,205.46273803710938,245.8000030517578,251.64999389648438,220.64999389648438,233.8000030517578,5301859
2010-01-01,227.1124267578125,271.70001220703125,320.1000061035156,244.5,245.3000030517578,9253901
2010-02-01,212.77684020996094,254.5500030517578,314.70001220703125,218.0,276.3500061035156,8250919
2010-03-01,230.12159729003906,275.29998779296875,295.0,244.60000610351562,254.5500030517578,2542659
2010-04-01,264.0171203613281,315.8500061035156,353.3999938964844,273.04998779296875,274.0,7696848
2010-05-01,254.27896118164062,304.20001220703125,335.5,275.0,307.5,5453497
2010-06-01,241.69873046875,289.1499938964844,305.0,262.1499938964844,303.29998779296875,3336627
2010-07-01,281.7550964355469,334.20001220703125,354.3500061035156,283.1499938964844,289.20001220703125,5551322
2010-08-01,277.4132385253906,329.04998779296875,390.25,320.45001220703125,336.3999938964844,7212474
2010-09-01,321.71673583984375,381.6000061035156,401.79998779296875,331.0,333.95001220703125,5537389
2010-10-01,304.47589111328125,361.1499938964844,404.0,351.20001220703125,388.0,5422760
2010-11-01,274.7575988769531,325.8999938964844,378.8999938964844,290.0,372.8999938964844,4785634
2010-12-01,274.12530517578125,325.1499938964844,337.79998779296875,292.20001220703125,326.0,2671057
2011-01-01,220.2107391357422,261.20001220703125,330.0,252.0,329.6499938964844,2979661
2011-02-01,210.4732666015625,249.64999389648438,271.3500061035156,184.9499969482422,263.5,10131355
2011-03-01,247.4420166015625,293.5,303.0,249.89999389648438,249.89999389648438,4105198
2011-04-01,240.7395782470703,285.54998779296875,327.1000061035156,280.0,295.0,5892775
2011-05-01,229.0208740234375,271.6499938964844,286.45001220703125,240.0,285.0,5283458
2011-06-01,218.3981170654297,259.04998779296875,274.0,225.0,273.95001220703125,3583329
2011-07-01,221.4425811767578,259.45001220703125,294.45001220703125,244.25,260.1499938964844,3329692
2011-08-01,190.886962890625,223.64999389648438,268.5,207.1999969482422,260.20001220703125,2579039
2011-09-01,185.2538604736328,217.0500030517578,237.6999969482422,202.5500030517578,223.64999389648438,2392317
2011-10-01,217.08966064453125,254.35000610351562,267.8999938964844,200.89999389648438,215.5,2136658
2011-11-01,200.78768920898438,235.25,260.0,204.0,260.0,1949307
2011-12-01,163.27601623535156,191.3000030517578,247.89999389648438,179.5,239.89999389648438,3193951
2012-01-01,222.85084533691406,261.1000061035156,265.8999938964844,189.0,194.0,2741060
2012-02-01,242.39617919921875,284.0,307.45001220703125,252.3000030517578,261.6000061035156,4618966
2012-03-01,284.3460693359375,333.1499938964844,334.0,260.3500061035156,280.1499938964844,5250077
2012-04-01,281.9136047363281,330.29998779296875,368.5,301.0,334.0,3455389
2012-05-01,255.41220092773438,299.25,333.8999938964844,282.5,328.25,4056999
2012-06-01,290.1072082519531,339.8999938964844,354.95001220703125,285.29998779296875,304.0,3142795
2012-07-01,302.1371154785156,348.6000061035156,358.8999938964844,325.5,341.8500061035156,3271054
2012-08-01,290.17645263671875,334.79998779296875,369.95001220703125,322.29998779296875,349.0,2762288
2012-09-01,317.8680114746094,366.75,370.0,325.29998779296875,335.95001220703125,2628343
2012-10-01,310.97760009765625,358.79998779296875,393.29998779296875,351.0,365.75,2465123
2012-11-01,317.13128662109375,365.8999938964844,410.0,338.95001220703125,350.1499938964844,3282615
2012-12-01,329.17864990234375,379.79998779296875,397.0,350.0,365.8500061035156,1707202
2013-01-01,371.9944152832031,429.20001220703125,446.70001220703125,372.1000061035156,385.0,4365589
2013-02-01,337.9324645996094,389.8999938964844,473.0,365.29998779296875,433.3999938964844,5871848
2013-03-01,301.70379638671875,348.1000061035156,429.0,339.0,393.45001220703125,3315694
2013-04-01,358.77703857421875,413.95001220703125,417.0,340.0,353.8999938964844,4456541
2013-05-01,340.35931396484375,392.70001220703125,425.0,381.3999938964844,413.95001220703125,2119634
2013-06-01,304.26055908203125,351.04998779296875,409.0,336.0,388.0,2164862
2013-07-01,255.03585815429688,288.6000061035156,359.79998779296875,281.5,358.0,2793297
2013-08-01,220.70411682128906,249.75,298.0,224.10000610351562,286.0,2468270
2013-09-01,248.4081573486328,281.1000061035156,296.0,213.0,246.14999389648438,3365226
2013-10-01,276.4213562011719,312.79998779296875,336.8500061035156,284.8999938964844,284.8999938964844,2794961
2013-11-01,289.1466979980469,327.20001220703125,340.0,285.25,316.0,3518615
2013-12-01,275.84698486328125,312.1499938964844,353.5,297.3500061035156,324.5,3218003
2014-01-01,235.19679260253906,266.1499938964844,337.0,261.0,310.1499938964844,2745514
2014-02-01,259.7194519042969,293.8999938964844,300.0,265.6499938964844,279.0,2239774
2014-03-01,330.9457092285156,374.5,387.70001220703125,290.0,290.0,6204880
2014-04-01,328.7806701660156,372.04998779296875,391.95001220703125,358.0,379.29998779296875,4580592
2014-05-01,397.709228515625,450.04998779296875,467.70001220703125,357.1000061035156,372.04998779296875,4215602
2014-06-01,439.77337646484375,497.6499938964844,583.7999877929688,443.70001220703125,452.54998779296875,5686941
2014-07-01,399.4324645996094,452.0,505.1000061035156,428.1000061035156,502.04998779296875,3945367
2014-08-01,407.4997253417969,454.70001220703125,503.8999938964844,401.5,448.0,4532539
2014-09-01,362.1074523925781,404.04998779296875,469.95001220703125,385.0,450.5,4151405
2014-10-01,386.79754638671875,431.6000061035156,475.0,387.3999938964844,405.0,5718422
